 INFO  Accepting connections at http://localhost:3000
 HTTP  3/8/2026 5:
1:13 PM 127.0.0.1 HEAD /
 HTTP  3/8/2026 5:31:13 PM 127.0.0.1 Returned 200 in 13 ms
 HTTP  3/8/2026 5:32:12 PM 127.0.0.1 GET /
 HTTP  3/8/2026 5:32:12 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/8/2026 5:32:12 PM 127.0.0.1 GET /assets/index-DdORVFU8.js
 HTTP  3/8/2026 5:32:12 PM 127.0.0.1 GET /assets/index-BQ8FPk6O.css
 HTTP  3/8/2026 5:32:12 PM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/8/2026 5:32:12 PM 127.0.0.1 Returned 200 in 9 ms
 HTTP  3/8/2026 5:32:12 PM 127.0.0.1 GET /logo.png
 HTTP  3/8/2026 5:32:12 PM 127.0.0.1 Returned 304 in 3 ms
 HTTP  3/8/2026 5:44:02 PM 127.0.0.1 GET /
 HTTP  3/8/2026 5:44:02 PM 127.0.0.1 Returned 304 in 25 ms
 HTTP  3/8/2026 5:44:03 PM 127.0.0.1 GET /assets/index-BQ8FPk6O.css
 HTTP  3/8/2026 5:44:03 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  3/8/2026 5:44:03 PM 127.0.0.1 GET /assets/index-DdORVFU8.js
 HTTP  3/8/2026 5:44:03 PM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/8/2026 5:44:03 PM 127.0.0.1 GET /logo.png
 HTTP  3/8/2026 5:44:03 PM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/8/2026 7:15:26 PM 127.0.0.1 GET /
 HTTP  3/8/2026 7:15:26 PM 127.0.0.1 Returned 304 in 30 ms
 HTTP  3/8/2026 7:15:27 PM 127.0.0.1 GET /assets/index-BQ8FPk6O.css
 HTTP  3/8/2026 7:15:27 PM 127.0.0.1 Returned 304 in 3 ms
 HTTP  3/8/2026 7:15:27 PM 127.0.0.1 GET /assets/index-DdORVFU8.js
 HTTP  3/8/2026 7:15:27 PM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/8/2026 7:15:27 PM 127.0.0.1 GET /logo.png
 HTTP  3/8/2026 7:15:27 PM 127.0.0.1 Returned 304 in 2 ms
